match_index,frame_id,timestamp,se3_error_m,sim3_error_m,global_sim3_scale,est_step_m,gt_step_m,est_gt_step_ratio,is_keyframe_created,tracked_map_points,tracked_static_map_points,inlier_map_matches_after_pose,local_map_matches_before_pose,v14_static_inlier_count,v14_static_inlier_grid_coverage,v14_boundary_inlier_frac,v14_step_ratio_proxy,v14_recent_keyframe_rate,v14_recent_keyframes_per_m,v14_support_low,v14_motion_pressure,v14_keyframe_pressure,v14_boundary_pressure,v14_pose_chain_risk,segment
75,78,1341846650.414223909,0.132188732,0.304937227,0.451040600,0.021404135,0.002437212,8.782223012,0,264,264,264,478,237,0.039714000,0.151515000,1.496602000,0.533333000,35.843461000,1,0,1,0,0,0-149
76,79,1341846650.450352907,0.152294541,0.315099956,0.451040600,0.023369478,0.002451530,9.532608773,0,303,303,303,478,264,0.048177000,0.178218000,1.576326000,0.533333000,34.705079000,1,0,1,0,0,0-149
77,80,1341846650.484848976,0.161939208,0.317867985,0.451040600,0.011044150,0.001849324,5.971992503,0,288,288,288,464,270,0.047201000,0.114583000,0.744953000,0.500000000,32.515879000,1,0,1,0,0,0-149
78,81,1341846650.514091015,0.141940571,0.308829540,0.451040600,0.020231881,0.002758623,7.334051181,1,304,304,236,441,280,0.047852000,0.108553000,2.208749000,0.466667000,30.189655000,1,1,1,0,0,0-149
79,82,1341846650.550745964,0.140605199,0.305970753,0.451040600,0.006048682,0.005375872,1.125153617,1,303,303,254,494,269,0.046875000,0.184818000,1.041266000,0.466667000,29.233163000,1,0,1,0,0,0-149
80,83,1341846650.582068920,0.150518002,0.307385038,0.451040600,0.022075207,0.005673623,3.890848301,1,556,556,235,433,548,0.091471000,0.032374000,1.404928000,0.466667000,29.070767000,0,0,1,0,0,0-149
81,84,1341846650.618092060,0.151811577,0.302189555,0.451040600,0.009150192,0.009594269,0.953714306,0,403,403,403,586,383,0.066081000,0.099256000,0.603836000,0.500000000,31.178125000,0,0,1,0,0,0-149
82,85,1341846650.650422096,0.148081226,0.296604212,0.451040600,0.007320634,0.008358229,0.875859392,0,349,349,349,550,322,0.061198000,0.097421000,0.483099000,0.500000000,31.421315000,0,0,1,0,0,0-149
83,86,1341846650.682113886,0.146680106,0.291855810,0.451040600,0.010335047,0.008989438,1.149687697,0,356,356,356,541,341,0.062500000,0.067416000,0.697122000,0.500000000,32.046095000,0,0,1,0,0,0-149
84,87,1341846650.718110085,0.146415497,0.283659146,0.451040600,0.011633820,0.014052046,0.827909342,0,340,340,340,529,328,0.057292000,0.079412000,0.796252000,0.500000000,32.334945000,0,0,1,0,0,0-149
85,88,1341846650.750112057,0.147663733,0.278290947,0.451040600,0.010693393,0.010788883,0.991149219,1,527,527,260,492,501,0.081380000,0.056926000,0.738362000,0.466667000,29.742972000,0,0,1,0,0,0-149
86,89,1341846650.782115936,0.138449597,0.269916728,0.451040600,0.011913902,0.010897706,1.093248604,0,311,311,311,508,294,0.058268000,0.077170000,0.713819000,0.466667000,29.752183000,0,0,1,0,0,0-149
87,90,1341846650.818114996,0.136023520,0.260835674,0.451040600,0.013623787,0.015103311,0.902039739,0,310,310,310,521,291,0.053711000,0.090323000,0.932450000,0.433333000,27.643889000,0,0,1,0,0,0-149
88,91,1341846650.850138903,0.147484052,0.259483696,0.451040600,0.019957196,0.011587493,1.722304822,0,337,337,337,556,312,0.059570000,0.097923000,1.365925000,0.400000000,25.211293000,0,0,1,0,0,0-149
89,92,1341846650.886238098,0.147068588,0.249041814,0.451040600,0.010354445,0.015973102,0.648242548,0,243,243,243,480,229,0.051758000,0.082305000,0.708690000,0.400000000,25.268825000,0,0,1,0,0,0-149
90,93,1341846650.918287992,0.137122629,0.240479928,0.451040600,0.014622993,0.011708544,1.248916418,0,251,251,251,508,235,0.051758000,0.107570000,1.055388000,0.400000000,25.586993000,0,0,1,0,0,0-149
91,94,1341846650.950232983,0.141830723,0.236133099,0.451040600,0.014248494,0.012055289,1.181928857,0,237,237,237,497,218,0.043620000,0.118143000,1.028361000,0.400000000,26.017681000,1,0,1,0,0,0-149
92,95,1341846650.986247063,0.139087069,0.226547430,0.451040600,0.016477120,0.016216350,1.016080685,1,481,481,201,466,469,0.082357000,0.056133000,0.960758000,0.366667000,24.752880000,0,0,1,0,0,0-149
93,96,1341846651.018105984,0.140223773,0.221854893,0.451040600,0.014683595,0.012063996,1.217141914,1,544,544,273,509,522,0.089518000,0.055147000,1.115869000,0.366667000,24.628313000,0,0,1,0,0,0-149
94,97,1341846651.050482035,0.142913049,0.217231013,0.451040600,0.020711770,0.013087399,1.582573456,1,543,543,332,587,520,0.086263000,0.069982000,1.419030000,0.366667000,24.022792000,0,0,1,0,0,0-149
95,98,1341846651.086169004,0.145363197,0.209750992,0.451040600,0.017705272,0.016482112,1.074211365,1,520,520,323,584,509,0.083984000,0.067308000,1.104958000,0.366667000,23.766806000,0,0,1,0,0,0-149
96,99,1341846651.118422985,0.131436754,0.200549124,0.451040600,0.013877151,0.007467931,1.858232258,0,309,309,309,580,286,0.055339000,0.139159000,1.638479000,0.400000000,26.507697000,0,0,1,0,0,0-149
97,100,1341846651.154189110,0.133517754,0.194196922,0.451040600,0.016763933,0.015446359,1.085299990,0,325,325,325,587,302,0.058919000,0.132308000,1.161282000,0.400000000,25.709419000,0,0,1,0,0,0-149
98,101,1341846651.186391115,0.132363293,0.186807355,0.451040600,0.014444046,0.014712240,0.981770675,1,534,534,298,550,529,0.091797000,0.028090000,1.068909000,0.400000000,25.700844000,0,0,1,0,0,0-149
99,102,1341846651.218035936,0.129477685,0.181270383,0.451040600,0.010615336,0.010467569,1.014116634,1,549,549,387,630,543,0.092122000,0.025501000,0.696851000,0.433333000,27.726807000,0,0,1,0,0,0-149
100,103,1341846651.254030943,0.126125106,0.175626301,0.451040600,0.008378269,0.010093067,0.830101401,1,578,578,441,671,570,0.097005000,0.036332000,0.695452000,0.433333000,27.846776000,0,0,1,0,0,0-149
101,104,1341846651.286406040,0.121972793,0.167281911,0.451040600,0.011224910,0.014263590,0.786962500,1,568,568,435,664,562,0.091797000,0.049296000,0.826332000,0.433333000,27.609761000,0,0,1,0,0,0-149
102,105,1341846651.318309069,0.114287441,0.159217910,0.451040600,0.010268883,0.011038569,0.930273076,0,420,420,420,620,410,0.070964000,0.059524000,1.002489000,0.433333000,28.282405000,0,0,1,0,0,0-149
103,106,1341846651.354135036,0.105714570,0.152415278,0.451040600,0.017368136,0.011201339,1.550541052,1,548,548,346,574,540,0.091471000,0.063869000,0.845599000,0.400000000,26.408594000,0,0,1,0,0,0-149
104,107,1341846651.386179924,0.095003586,0.141950650,0.451040600,0.015183208,0.014525151,1.045304710,1,553,553,385,620,549,0.094727000,0.047016000,1.149084000,0.433333000,28.732258000,0,0,1,0,0,0-149
105,108,1341846651.422236919,0.086256913,0.134691747,0.451040600,0.016821266,0.011065713,1.520124919,1,500,500,384,643,492,0.088542000,0.056000000,1.121710000,0.466667000,30.849245000,0,0,1,0,0,0-149
106,109,1341846651.492135048,0.068144121,0.115927827,0.451040600,0.024382498,0.025620695,0.951672001,1,485,485,308,594,483,0.081380000,0.051546000,1.757751000,0.500000000,33.443062000,0,0,1,0,0,0-149
107,110,1341846651.522099018,0.048489075,0.104421440,0.451040600,0.020157228,0.009938310,2.028235009,0,284,284,284,606,282,0.056641000,0.056338000,1.548862000,0.533333000,35.524337000,0,0,1,0,0,0-149
108,111,1341846651.560316086,0.037520659,0.092983334,0.451040600,0.016473844,0.014283207,1.153371520,1,448,448,246,586,445,0.081380000,0.029018000,1.022915000,0.533333000,34.662565000,0,0,1,0,0,0-149
109,112,1341846651.590584993,0.027022838,0.085122318,0.451040600,0.016998363,0.011483466,1.480246684,1,481,481,281,605,477,0.082357000,0.039501000,1.256401000,0.533333000,36.058095000,0,0,1,0,0,0-149
110,113,1341846651.622175932,0.019028446,0.079029832,0.451040600,0.020152383,0.011194195,1.800252976,1,452,452,303,647,451,0.079102000,0.024336000,1.431371000,0.533333000,35.828765000,0,0,1,0,0,0-149
111,114,1341846651.654222965,0.015445454,0.072859895,0.451040600,0.018593660,0.011344161,1.639051082,1,466,466,313,648,462,0.085612000,0.038627000,1.187303000,0.533333000,35.866268000,0,0,1,0,0,0-149
112,115,1341846651.690126896,0.021422693,0.063956101,0.451040600,0.023695559,0.015897799,1.490493122,0,289,289,289,595,285,0.053385000,0.058824000,3.321131000,0.566667000,37.426512000,0,1,1,0,0,0-149
113,116,1341846651.722317934,0.034809162,0.064441546,0.451040600,0.031447197,0.012320308,2.552468337,1,424,424,220,569,422,0.077148000,0.023585000,1.660312000,0.566667000,34.281413000,0,0,1,0,0,0-149
114,117,1341846651.754211903,0.056177321,0.061692103,0.451040600,0.031826135,0.012316655,2.583991707,1,448,448,276,570,448,0.079427000,0.020089000,1.941065000,0.600000000,35.244121000,0,0,1,0,0,0-149
115,118,1341846651.790199995,0.066692810,0.054501612,0.451040600,0.027592248,0.017706496,1.558312168,1,394,394,258,603,394,0.076172000,0.053299000,1.855617000,0.633333000,35.912019000,0,0,1,0,0,0-149
116,119,1341846651.822232962,0.072079919,0.047363518,0.451040600,0.016813560,0.012954150,1.297928482,1,411,411,190,512,374,0.060221000,0.128954000,1.079324000,0.633333000,34.725246000,0,0,1,0,0,0-149
117,120,1341846651.858212948,0.078682811,0.029582097,0.451040600,0.020306836,0.016604216,1.222992748,1,429,429,190,478,387,0.062174000,0.116550000,1.850989000,0.666667000,36.109944000,0,0,1,0,0,0-149
